Sezon,Seri,Takım Adı,No.,Yarışlar,Pol,Galibiyet,Puan,Durum
2002,Formula Renault İngiltere,Manor Motorsport,25,13,3,3,274,3.
2003,Formula Renault İngiltere,Manor Motorsport,3,15,11,10,419,1.
2004,Formula 3 Euroseries,Manor Motorsport,35,20,1,1,69,5.
2005,Formula 3 Euroseries,ASM F3,1,20,11,15,172,1.
2006,GP2,ART Grand Prix,2,21,1,5,114,1.
2007,Formula 1,Vodafone McLaren Mercedes,2,17,6,4,109,2.
2008,Formula 1,Vodafone McLaren Mercedes,22,18,7,5,98,1.
2009,Formula 1,Vodafone McLaren Mercedes,1,18,4,0,49,5.
2010,Formula 1,Vodafone McLaren Mercedes,2,19,1,3,240,4.
2011,Formula 1,Vodafone McLaren Mercedes,3,19,1,3,227,5.
2012,Formula 1,Vodafone McLaren Mercedes,4,20,7,4,190,4.
2013,Formula 1,Mercedes,44,19,5,1,189,4.
2014,Formula 1,Mercedes,44,19,7,11,384,1.
2015,Formula 1,Mercedes,44,19,11,10,381,1.
2016,Formula 1,Mercedes,44,21,11,9,380,2.
2017,Formula 1,Mercedes,44,17,7,11,331,1.
,,,Toplam =,295,94,95,,
,,,,,,Ortalama Puan =,"226,625",
